"VersionA","VersionB","type","trial_label"
"A real friend is someone whom you must consistently stick up for.","A real friend is someone up for whom you must consistently stick.","particle",14
"That timid accountant was the employee whom the boss would always talk down to.","That timid accountant was the employee down to whom the boss would always talk.","particle",15
"That bearded man is the teacher whom the substitute would occasionally fill in for.","That bearded man is the teacher in for whom the substitute would occasionally fill.","particle",16
"That tall carpenter was the gentleman whom my sister would sometimes go out with.","That tall carpenter was the gentleman out with whom my sister would sometimes go.","particle",17
"The quiet child is a troublemaker whom all babysitters should often check in on.","The quiet child is a troublemaker in on whom all babysitters should often check.","particle",18
"The expert chef was a master whom any amateur must humbly look up to.","The expert chef was a master up to whom any amateur must humbly look.","particle",19
"Your strange cousin is a person whom the family must reluctantly put up with.","Your strange cousin is a person up with whom the family must reluctantly put.","particle",20
"The brilliant compromise is a solution which both sides could happily agree on.","The brilliant compromise is a solution on which both sides could happily agree.","prepositional",1
"The exhausting trip was a vacation which my friends will barely recover from.","The exhausting trip was a vacation from which my friends will barely recover.","prepositional",2
"The antique painting was a piece which the critic would closely stare at.","The antique painting was a piece at which the critic would closely stare.","prepositional",3
"The careful argument was a statement which no opponent could easily argue with.","The careful argument was a statement with which no opponent could easily argue.","prepositional",4
"The charming neighborhood was a district which young couples could comfortably live in.","The charming neighborhood was a district in which young couples could comfortably live.","prepositional",5
"The new plan is a project which the mayor should immediately work on.","The new plan is a project on which the mayor should immediately work.","prepositional",6
"The monthly journal is a magazine which all experts should definitely subscribe to.","The monthly journal is a magazine to which all experts should definitely subscribe.","prepositional",7
"The rare bird is a species which every biologist should enthusiastically teach about.","The rare bird is a species about which every biologist should enthusiastically teach.","prepositional",8
"The controversial issue was a topic which few activists would openly fight for.","The controversial issue was a topic for which few activists would openly fight.","prepositional",9
"The  new method is a technique which all surgeons should eagerly learn about.","The  new method is a technique about which all surgeons should eagerly learn.","prepositional",10
"Her impatient sister is a companion whom few people would willingly travel with.","Her impatient sister is a companion with whom few people would willingly travel.","prepositional",11
"My intimidating professor is an expert whom no student can confidently speak to.","My intimidating professor is an expert to whom no student can confidently speak.","prepositional",12
"Her well-behaved daughter is an angel whom most babysitters would gladly care for.","Her well-behaved daughter is an angel for whom most babysitters would gladly care.","prepositional",13
"That retired teacher is the customer whom the server would often wait on.","That retired teacher is the customer on whom the server would often wait.","prepositional",14
"The careful bicyclist is an athlete whom no accident could ever happen to.","The careful bicyclist is an athlete to whom no accident could ever happen.","prepositional",15
"That foster parent was a guardian whom many children could reliably depend on.","That foster parent was a guardian on whom many children could reliably depend.","prepositional",16
"The master violinist was a musician whom few professionals could really compare to.","The master violinist was a musician to whom few professionals could really compare.","prepositional",17
"The friendly star was a figure whom many fans would regularly write to.","The friendly star was a figure to whom many fans would regularly write.","prepositional",18
"The unpredictable politician was a candidate whom most people would never vote for.","The unpredictable politician was a candidate for whom most people would never vote.","prepositional",19
"The offensive comedian was an entertainer whom no audience would generally laugh at.","The offensive comedian was an entertainer at whom no audience would generally laugh.","prepositional",20
"If you're reading this, please select this sentence.","If you're reading this, please select the other sentence.","catch",1
"If you're reading this, do not select the other sentence, select this one.","If you're reading this, do not select this sentence.","catch",2
